path,old_commit,old_nloc,old_token_count,old_avg_token_count,old_avg_nloc,old_avg_cyclo_comp,old_cumulative_cyclo_comp,current_commit,current_nloc,current_token_count,current_avg_token_count,current_avg_nloc,current_avg_cyclo_comp,current_cumulative_cyclo_comp
vpr/src/base/read_blif.cpp,71fc191304c29e80ba4551587d4e5a7990248df4,477,3795,104.73529411764706,12.647058823529411,3.176470588235294,108,996f3aac5048587352f96898650195630ae9e18e,478,3810,105.17647058823529,12.676470588235293,3.176470588235294,108
vpr/src/base/read_blif.cpp,5de5dbbeb9a2fa12cec9b2b26cfbbc98cd708395,481,3845,106.26470588235294,12.794117647058824,3.235294117647059,110,9752d013d13360461e8339ef9a32d26cc0e2f9b9,477,3795,104.73529411764706,12.647058823529411,3.176470588235294,108
vpr/src/base/read_blif.cpp,c28468f838d5fcd78c57007359ae646475d0fcb4,477,3815,105.44117647058823,12.705882352941176,3.2058823529411766,109,9d31804b0dd3df1b3cc5c80f002006c154547706,481,3845,106.26470588235294,12.794117647058824,3.235294117647059,110
vpr/src/base/netlist_writer.cpp,27c7402a0f9c7494d74e6cc3f9d9cb24e214a27d,1521,13870,201.6875,21.75,4.515625,289,c28468f838d5fcd78c57007359ae646475d0fcb4,1526,13909,202.265625,21.8125,4.53125,290
vpr/src/base/read_blif.cpp,27c7402a0f9c7494d74e6cc3f9d9cb24e214a27d,432,3515,106.06451612903226,12.483870967741936,2.870967741935484,89,c28468f838d5fcd78c57007359ae646475d0fcb4,477,3815,105.44117647058823,12.705882352941176,3.2058823529411766,109
libs/libarchfpga/src/read_fpga_interchange_arch.cpp,8658bdd8d190cbd078193be0a8d08c036c376e91,1779,15537,314.5208333333333,35.625,7.333333333333333,352,724b87edc767f9e87013ec655cd38869dd21bf72,1779,15537,314.5208333333333,35.625,7.333333333333333,352
vpr/src/base/read_interchange_netlist.cpp,8658bdd8d190cbd078193be0a8d08c036c376e91,403,3496,303.09090909090907,33.27272727272727,7.818181818181818,86,724b87edc767f9e87013ec655cd38869dd21bf72,403,3496,303.09090909090907,33.27272727272727,7.818181818181818,86
vpr/test/test_interchange_device.cpp,101d8bdb2e1b9a94898885613e7cf478dac9f68d,144,1332,261.0,26.8,4.4,22,8658bdd8d190cbd078193be0a8d08c036c376e91,144,1352,265.0,26.8,4.4,22
vpr/src/base/read_interchange_netlist.cpp,9a65d635e4481b0b6fdc18e618ecca63a776ec5d,405,3523,306.1818181818182,33.54545454545455,8.181818181818182,90,101d8bdb2e1b9a94898885613e7cf478dac9f68d,403,3496,303.09090909090907,33.27272727272727,7.818181818181818,86
vpr/src/base/read_interchange_netlist.cpp,69a214b34c557b71b68f2e390e86ffff4ace4920,397,3446,299.1818181818182,32.81818181818182,8.0,88,9a65d635e4481b0b6fdc18e618ecca63a776ec5d,405,3523,306.1818181818182,33.54545454545455,8.181818181818182,90
libs/libarchfpga/src/read_fpga_interchange_arch.cpp,220fa98c059e45549b4ed0227d87f1048b6b0ea4,1666,14373,316.90909090909093,36.31818181818182,7.840909090909091,345,69a214b34c557b71b68f2e390e86ffff4ace4920,1779,15537,314.5208333333333,35.625,7.333333333333333,352
vpr/src/base/read_interchange_netlist.cpp,220fa98c059e45549b4ed0227d87f1048b6b0ea4,387,3330,288.6363636363636,31.90909090909091,7.7272727272727275,85,69a214b34c557b71b68f2e390e86ffff4ace4920,397,3446,299.1818181818182,32.81818181818182,8.0,88
ODIN_II/SRC/YYosys.cpp,39f622750f13e432bd560d83404f28d013d747de,135,1086,105.5,12.3,2.5,25,34f16e06a481d518bf5ef9842daa0d391e6af845,135,1086,105.5,12.3,2.5,25
vpr/src/pack/output_clustering.cpp,5adce06c7bc172a37baff8fe425a266847708903,521,4779,521.6666666666666,55.44444444444444,13.333333333333334,120,ab88ee17c5106b22aa238c80e6d8c3eed5d7668e,520,4762,519.7777777777778,55.333333333333336,13.333333333333334,120
vpr/src/place/move_utils.cpp,5adce06c7bc172a37baff8fe425a266847708903,570,4951,211.0,24.0,4.913043478260869,113,ab88ee17c5106b22aa238c80e6d8c3eed5d7668e,570,4951,211.0,24.0,4.913043478260869,113
vpr/src/pack/pack.cpp,1ae657079d455d6117401d423bd8d7536dc8316d,405,2989,355.125,47.375,10.375,83,5adce06c7bc172a37baff8fe425a266847708903,405,2989,355.125,47.375,10.375,83
vpr/src/pack/attraction_groups.cpp,a2380040c5baa5f912ee6cf503d987fe605003d4,95,790,156.8,18.8,3.4,17,1ae657079d455d6117401d423bd8d7536dc8316d,84,670,110.5,13.833333333333334,2.3333333333333335,14
vpr/src/pack/cluster.cpp,dae5b2d29005143be3661175af87f464dca1658c,2748,20729,276.13432835820896,36.83582089552239,8.208955223880597,550,a2380040c5baa5f912ee6cf503d987fe605003d4,2748,20729,276.13432835820896,36.83582089552239,8.208955223880597,550
vpr/src/pack/pack.cpp,dae5b2d29005143be3661175af87f464dca1658c,405,2989,355.125,47.375,10.375,83,a2380040c5baa5f912ee6cf503d987fe605003d4,405,2989,355.125,47.375,10.375,83
vpr/src/place/move_utils.cpp,dae5b2d29005143be3661175af87f464dca1658c,570,4951,211.0,24.0,4.913043478260869,113,a2380040c5baa5f912ee6cf503d987fe605003d4,570,4951,211.0,24.0,4.913043478260869,113
