entity,coupled,degree,average-revs
ODIN_II/SRC/adders.c,ODIN_II/SRC/subtractions.c,68,18
ODIN_II/SRC/simulate_blif.c,ODIN_II/SRC/simulate_blif.h,60,10
ODIN_II/SRC/adders.c,ODIN_II/SRC/partial_map.c,59,19
ODIN_II/SRC/partial_map.c,ODIN_II/SRC/subtractions.c,57,14
ODIN_II/SRC/netlist_utils.c,ODIN_II/SRC/types.h,54,11
ODIN_II/SRC/adders.h,ODIN_II/SRC/partial_map.c,54,11
ODIN_II/SRC/subtractions.c,ODIN_II/SRC/subtractions.h,52,10
ODIN_II/SRC/partial_map.c,ODIN_II/SRC/types.h,50,14
ODIN_II/SRC/adders.h,ODIN_II/SRC/subtractions.c,50,10
ODIN_II/SRC/adders.h,ODIN_II/SRC/types.h,50,10
ODIN_II/SRC/read_blif.c,ODIN_II/SRC/simulate_blif.c,50,10
ODIN_II/SRC/adders.c,ODIN_II/SRC/adders.h,48,15
ODIN_II/SRC/partial_map.c,ODIN_II/SRC/subtractions.h,47,11
ODIN_II/SRC/simulate_blif.c,ODIN_II/SRC/types.h,44,14
ODIN_II/SRC/netlist_create_from_ast.c,ODIN_II/SRC/partial_map.c,43,16
ODIN_II/SRC/netlist_create_from_ast.c,ODIN_II/SRC/output_blif.c,41,15
ODIN_II/SRC/netlist_create_from_ast.c,ODIN_II/SRC/types.h,40,15
ODIN_II/SRC/output_blif.c,ODIN_II/SRC/simulate_blif.c,38,13
ODIN_II/SRC/adders.c,ODIN_II/SRC/netlist_optimizations.c,37,14
ODIN_II/SRC/output_blif.c,ODIN_II/SRC/partial_map.c,37,14
ODIN_II/SRC/adders.c,ODIN_II/SRC/subtractions.h,35,14
ODIN_II/SRC/adders.c,ODIN_II/SRC/types.h,34,18
ODIN_II/SRC/netlist_create_from_ast.c,ODIN_II/SRC/simulate_blif.c,32,16
