entity,coupled,degree,average-revs
ODIN_II/SRC/blif_elaborate.cpp,ODIN_II/SRC/read_yosys_blif.cpp,81,11
ODIN_II/SRC/GenericReader.cc,ODIN_II/SRC/GenericWriter.cc,80,10
ODIN_II/SRC/Yosys.cpp,ODIN_II/SRC/include/Yosys.hpp,76,7
ODIN_II/SRC/include/odin_util.h,ODIN_II/SRC/odin_util.cpp,72,28
ODIN_II/SRC/include/odin_error.h,ODIN_II/SRC/odin_error.cpp,69,12
ODIN_II/SRC/ast_loop_unroll.cpp,ODIN_II/SRC/include/ast_loop_unroll.h,68,21
ODIN_II/SRC/include/node_creation_library.h,ODIN_II/SRC/node_creation_library.cpp,66,14
ODIN_II/SRC/BLIFReader.cc,ODIN_II/SRC/blif_elaborate.cc,55,59
ODIN_II/SRC/include/ast_elaborate.h,ODIN_II/SRC/include/ast_loop_unroll.h,53,15
ODIN_II/SRC/blif_elaborate.cc,ODIN_II/SRC/include/subckt_types.h,52,40
ODIN_II/SRC/BLIFElaborate.cpp,ODIN_II/SRC/BLIFReader.cpp,52,10
ODIN_II/SRC/verilog_bison.y,ODIN_II/SRC/verilog_flex.l,48,48
ODIN_II/SRC/ast_elaborate.cpp,ODIN_II/SRC/ast_loop_unroll.cpp,48,42
ODIN_II/SRC/enum_str.cpp,ODIN_II/SRC/include/odin_types.h,47,71
ODIN_II/SRC/BLIFReader.cc,ODIN_II/SRC/include/subckt_types.h,46,47
ODIN_II/SRC/include/memories.h,ODIN_II/SRC/memories.cpp,46,32
ODIN_II/SRC/block_memories.cc,ODIN_II/SRC/include/memories.h,46,13
ODIN_II/SRC/include/netlist_utils.h,ODIN_II/SRC/netlist_utils.cpp,45,44
ODIN_II/SRC/BLIFWriter.cc,ODIN_II/SRC/GenericWriter.cc,45,11
ODIN_II/SRC/ast_util.cpp,ODIN_II/SRC/include/ast_util.h,44,64
ODIN_II/SRC/ast_elaborate.cpp,ODIN_II/SRC/include/ast_elaborate.h,44,36
ODIN_II/SRC/ast_elaborate.cpp,ODIN_II/SRC/ast_util.cpp,43,77
ODIN_II/SRC/include/parse_making_ast.h,ODIN_II/SRC/verilog_bison.y,43,39
ODIN_II/SRC/include/odin_types.h,ODIN_II/SRC/odin_ii.cpp,41,85
ODIN_II/SRC/BLIFReader.cc,ODIN_II/SRC/include/odin_types.h,41,84
ODIN_II/SRC/include/config_t.h,ODIN_II/SRC/odin_ii.cpp,41,44
ODIN_II/SRC/ast_loop_unroll.cpp,ODIN_II/SRC/include/ast_elaborate.h,41,22
ODIN_II/SRC/GenericWriter.cc,ODIN_II/SRC/include/BLIF.hh,41,12
ODIN_II/SRC/include/ast_elaborate.h,ODIN_II/SRC/include/ast_util.h,39,23
ODIN_II/SRC/include/parse_making_ast.h,ODIN_II/SRC/parse_making_ast.cpp,38,62
ODIN_II/SRC/BLIFWriter.cc,ODIN_II/SRC/include/BLIF.hh,38,13
ODIN_II/SRC/include/config_t.h,ODIN_II/SRC/read_xml_config_file.cpp,38,13
ODIN_II/SRC/ast_util.cpp,ODIN_II/SRC/parse_making_ast.cpp,37,99
ODIN_II/SRC/ast_elaborate.cpp,ODIN_II/SRC/parse_making_ast.cpp,37,78
ODIN_II/SRC/parse_making_ast.cpp,ODIN_II/SRC/verilog_bison.y,37,77
ODIN_II/SRC/ast_elaborate.cpp,ODIN_II/SRC/include/ast_util.h,37,43
ODIN_II/SRC/BLIFElaborate.cc,ODIN_II/SRC/include/netlist_utils.h,35,14
ODIN_II/SRC/ast_util.cpp,ODIN_II/SRC/netlist_create_from_ast.cpp,34,135
ODIN_II/SRC/include/ast_util.h,ODIN_II/SRC/parse_making_ast.cpp,33,65
ODIN_II/SRC/netlist_utils.cpp,ODIN_II/SRC/partial_map.cpp,33,65
ODIN_II/SRC/BlockMemories.cc,ODIN_II/SRC/node_creation_library.cpp,32,16
ODIN_II/SRC/include/odin_types.h,ODIN_II/SRC/include/subckt_types.h,31,65
ODIN_II/SRC/blif_elaborate.cc,ODIN_II/SRC/include/odin_types.h,30,77
ODIN_II/SRC/memories.cpp,ODIN_II/SRC/netlist_utils.cpp,30,59
