entity,coupled,degree,average-revs
ODIN_II/SRC/include/simulate_blif.h,ODIN_II/SRC/simulate_blif.cpp,57,19
ODIN_II/SRC/ast_util.h,ODIN_II/SRC/parse_making_ast.c,57,14
ODIN_II/SRC/memories.c,ODIN_II/SRC/netlist_create_from_ast.c,57,14
ODIN_II/SRC/ast_util.c,ODIN_II/SRC/memories.c,57,14
ODIN_II/SRC/multipliers.c,ODIN_II/SRC/netlist_utils.c,57,11
ODIN_II/SRC/partial_map.c,ODIN_II/SRC/simulate_blif.c,56,13
ODIN_II/SRC/simulate_blif.c,ODIN_II/SRC/string_cache.c,56,13
ODIN_II/SRC/output_blif.c,ODIN_II/SRC/simulate_blif.c,55,15
ODIN_II/SRC/implicit_memory.c,ODIN_II/SRC/netlist_utils.c,55,9
ODIN_II/SRC/adders.c,ODIN_II/SRC/implicit_memory.c,55,9
ODIN_II/SRC/ast_elaborate.c,ODIN_II/SRC/ast_util.c,53,23
ODIN_II/SRC/output_blif.c,ODIN_II/SRC/parse_making_ast.c,53,15
ODIN_II/SRC/ast_util.c,ODIN_II/SRC/output_blif.c,53,15
ODIN_II/SRC/netlist_create_from_ast.c,ODIN_II/SRC/output_blif.c,53,15
ODIN_II/SRC/ast_util.c,ODIN_II/SRC/partial_map.c,53,13
ODIN_II/SRC/simulate_blif.c,ODIN_II/SRC/subtractions.c,53,13
ODIN_II/SRC/netlist_create_from_ast.c,ODIN_II/SRC/partial_map.c,53,13
ODIN_II/SRC/simulate_blif.c,ODIN_II/SRC/verilog_preprocessor.c,53,13
ODIN_II/SRC/adders.c,ODIN_II/SRC/ast_elaborate.c,52,19
ODIN_II/SRC/adders.c,ODIN_II/SRC/ast_elaborate.h,52,10
ODIN_II/SRC/adders.c,ODIN_II/SRC/read_netlist.c,52,10
ODIN_II/SRC/adders.c,ODIN_II/SRC/string_cache.c,52,10
ODIN_II/SRC/netlist_utils.c,ODIN_II/SRC/string_cache.c,52,10
ODIN_II/SRC/ast_util.c,ODIN_II/SRC/netlist_utils.c,51,16
ODIN_II/SRC/adders.c,ODIN_II/SRC/parse_making_ast.c,51,16
ODIN_II/SRC/netlist_create_from_ast.c,ODIN_II/SRC/netlist_utils.c,51,16
ODIN_II/SRC/ast_util.c,ODIN_II/SRC/subtractions.c,51,14
ODIN_II/SRC/multipliers.c,ODIN_II/SRC/simulate_blif.c,51,14
ODIN_II/SRC/netlist_create_from_ast.c,ODIN_II/SRC/subtractions.c,51,14
ODIN_II/SRC/multipliers.c,ODIN_II/SRC/netlist_create_from_ast.c,50,14
ODIN_II/SRC/ast_util.c,ODIN_II/SRC/multipliers.c,50,14
ODIN_II/SRC/memories.c,ODIN_II/SRC/parse_making_ast.c,50,14
ODIN_II/SRC/netlist_create_from_ast.c,ODIN_II/SRC/read_blif.c,50,14
ODIN_II/SRC/ast_util.c,ODIN_II/SRC/read_blif.c,50,14
ODIN_II/SRC/implicit_memory.c,ODIN_II/SRC/simulate_blif.c,50,12
ODIN_II/SRC/include/simulate_blif.h,ODIN_II/SRC/include/types.h,50,12
ODIN_II/SRC/adders.c,ODIN_II/SRC/netlist_utils.c,50,12
ODIN_II/SRC/adders.c,ODIN_II/SRC/verilog_preprocessor.c,50,10
ODIN_II/SRC/netlist_utils.c,ODIN_II/SRC/verilog_preprocessor.c,50,10
ODIN_II/SRC/PARSE_TOOL/verilog_flex.l,ODIN_II/SRC/lib_ast/ast_util.cpp,50,10
ODIN_II/SRC/activity_estimation.c,ODIN_II/SRC/ast_util.c,48,13
ODIN_II/SRC/adders.c,ODIN_II/SRC/odin_util.c,48,13
ODIN_II/SRC/ast_util.c,ODIN_II/SRC/implicit_memory.c,48,13
ODIN_II/SRC/read_netlist.c,ODIN_II/SRC/simulate_blif.c,48,13
ODIN_II/SRC/implicit_memory.c,ODIN_II/SRC/netlist_create_from_ast.c,48,13
ODIN_II/SRC/output_blif.c,ODIN_II/SRC/read_xml_config_file.c,47,11
ODIN_II/SRC/adders.c,ODIN_II/SRC/ast_util.h,47,11
ODIN_II/SRC/odin_ii.c,ODIN_II/SRC/odin_ii_func.c,47,11
ODIN_II/SRC/adders.c,ODIN_II/SRC/simulate_blif.c,46,15
ODIN_II/SRC/netlist_create_from_ast.c,ODIN_II/SRC/string_cache.c,46,13
ODIN_II/SRC/ast_elaborate.h,ODIN_II/SRC/ast_util.c,46,13
ODIN_II/SRC/netlist_create_from_ast.c,ODIN_II/SRC/read_netlist.c,46,13
ODIN_II/SRC/ast_util.c,ODIN_II/SRC/string_cache.c,46,13
ODIN_II/SRC/parse_making_ast.c,ODIN_II/SRC/read_netlist.c,46,13
ODIN_II/SRC/ast_util.c,ODIN_II/SRC/read_netlist.c,46,13
ODIN_II/SRC/parse_making_ast.c,ODIN_II/SRC/partial_map.c,46,13
ODIN_II/SRC/netlist_utils.c,ODIN_II/SRC/parse_making_ast.c,45,16
ODIN_II/SRC/adders.c,ODIN_II/SRC/netlist_create_from_ast.c,45,16
